[API] [2019-08-16 19:32:02,438 47] [INFO] [EmployeesController] - GetCheckOutTime method Elapsed - 00:00:00.0548291
[API] [2019-08-16 19:32:02,921 46] [INFO] [ReportsController] - Entered MissingEntriesReport method
[API] [2019-08-16 19:32:02,936 46] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database 
[API] [2019-08-16 19:32:03,105 46] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database is completed . Returning the status object 
[API] [2019-08-16 19:32:03,117 46] [INFO] [ReportsController] - MissingEntriesReport-Elapsed00:00:00.1963615
[API] [2019-08-16 19:32:03,412 26] [INFO] [EmployeesController] - Entered GetAnniversary method
[API] [2019-08-16 19:32:03,428 26] [INFO] [EmployeesController] - Getting Anniversary from database
[API] [2019-08-16 19:32:03,512 26] [INFO] [EmployeesController] - Getting Anniversary from database completed. Returning the status object
[API] [2019-08-16 19:32:03,532 26] [INFO] [EmployeesController] - GetAnniversary method Elapsed - 00:00:00.1205897
[API] [2019-08-16 19:32:03,978 42] [INFO] [EmployeesController] - Entered Attendance method
[API] [2019-08-16 19:32:03,998 42] [INFO] [EmployeesController] - Getting attendance from database
[API] [2019-08-16 19:32:04,022 42] [INFO] [EmployeesController] - Getting attendance from database completed. Returning the status object
[API] [2019-08-16 19:32:04,038 42] [INFO] [EmployeesController] - Attendance method Elapsed - 00:00:00.0600082
[API] [2019-08-16 19:32:05,329 49] [INFO] [EmployeesController] - Entered GetCheckInTime method
[API] [2019-08-16 19:32:05,349 49] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-08-16 19:32:05,357 49] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
[API] [2019-08-16 19:32:05,369 49] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:00.0371771
[API] [2019-08-16 19:32:05,857 34] [INFO] [ReportsController] - Entered MissingEntriesReport method
[API] [2019-08-16 19:32:05,869 34] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database 
[API] [2019-08-16 19:32:05,905 34] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database is completed . Returning the status object 
[API] [2019-08-16 19:32:05,921 34] [INFO] [ReportsController] - MissingEntriesReport-Elapsed00:00:00.0647541
[API] [2019-08-16 19:32:06,330 34] [INFO] [EmployeesController] - Entered GetCheckOutTime method
[API] [2019-08-16 19:32:06,342 34] [INFO] [EmployeesController] - Getting checkout time from database
[API] [2019-08-16 19:32:06,410 34] [INFO] [EmployeesController] - Getting checkout time from database completed. Returning the status object
[API] [2019-08-16 19:32:06,426 34] [INFO] [EmployeesController] - GetCheckOutTime method Elapsed - 00:00:00.0969160
[API] [2019-08-16 19:32:06,855 9] [INFO] [EmployeesController] - Entered GetAnniversary method
[API] [2019-08-16 19:32:06,871 9] [INFO] [EmployeesController] - Getting Anniversary from database
[API] [2019-08-16 19:32:06,887 9] [INFO] [EmployeesController] - Getting Anniversary from database completed. Returning the status object
[API] [2019-08-16 19:32:06,902 9] [INFO] [EmployeesController] - GetAnniversary method Elapsed - 00:00:00.0449786
[API] [2019-08-16 19:32:07,380 26] [INFO] [EmployeesController] - Entered EmployeesByStatus method
[API] [2019-08-16 19:32:07,400 26] [INFO] [EmployeesController] - Getting employees by status from database 
[API] [2019-08-16 19:32:07,552 26] [INFO] [EmployeesController] - Getting employees  by status from database  completed. Returning the status object
[API] [2019-08-16 19:32:07,564 26] [INFO] [EmployeesController] - EmployeesByStatus method Elapsed - 00:00:00.1832665
[API] [2019-08-16 19:32:08,767 26] [INFO] [EmployeesController] - Entered GetCheckInTime method
[API] [2019-08-16 19:32:08,775 26] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-08-16 19:32:08,787 26] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
