[API] [2019-05-27 18:44:53,191 16] [INFO] [EmployeesController] - Getting checkout time from database
[API] [2019-05-27 18:44:53,194 16] [INFO] [EmployeesController] - Getting checkout time from database completed. Returning the status object
[API] [2019-05-27 18:44:53,195 16] [INFO] [EmployeesController] - GetCheckOutTime method Elapsed - 00:00:00.0060780
[API] [2019-05-27 18:44:53,689 27] [INFO] [EmployeesController] - Entered GetAnniversary method
[API] [2019-05-27 18:44:53,690 27] [INFO] [EmployeesController] - Getting Anniversary from database
[API] [2019-05-27 18:44:53,693 27] [INFO] [EmployeesController] - Getting Anniversary from database completed. Returning the status object
[API] [2019-05-27 18:44:53,694 27] [INFO] [EmployeesController] - GetAnniversary method Elapsed - 00:00:00.0056569
[API] [2019-05-27 18:45:15,577 9] [INFO] [EmployeesController] - Entered GetCheckInTime method
[API] [2019-05-27 18:45:15,579 9] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-05-27 18:45:15,581 9] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
[API] [2019-05-27 18:45:15,582 9] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:00.0042839
[API] [2019-05-27 18:45:16,105 14] [INFO] [ReportsController] - Entered MissingEntriesReport method
[API] [2019-05-27 18:45:16,106 14] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database 
[API] [2019-05-27 18:45:16,114 14] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:45:16,114 14] [INFO] [ReportsController] - MissingEntriesReport-Elapsed00:00:00.0089829
[API] [2019-05-27 18:45:16,631 24] [INFO] [EmployeesController] - Entered GetCheckOutTime method
[API] [2019-05-27 18:45:16,631 24] [INFO] [EmployeesController] - Getting checkout time from database
[API] [2019-05-27 18:45:16,635 24] [INFO] [EmployeesController] - Getting checkout time from database completed. Returning the status object
[API] [2019-05-27 18:45:16,636 24] [INFO] [EmployeesController] - GetCheckOutTime method Elapsed - 00:00:00.0049136
[API] [2019-05-27 18:45:17,133 22] [INFO] [EmployeesController] - Entered GetAnniversary method
[API] [2019-05-27 18:45:17,134 22] [INFO] [EmployeesController] - Getting Anniversary from database
[API] [2019-05-27 18:45:17,137 22] [INFO] [EmployeesController] - Getting Anniversary from database completed. Returning the status object
[API] [2019-05-27 18:45:17,138 22] [INFO] [EmployeesController] - GetAnniversary method Elapsed - 00:00:00.0056113
[API] [2019-05-27 18:45:32,870 6] [INFO] [EmployeesController] - Entered GetAnniversary method
[API] [2019-05-27 18:45:32,871 6] [INFO] [EmployeesController] - Getting Anniversary from database
